Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Salary
1,Shai Gilgeous-Alexander,26,OKC,PG,76,76,34.18421053,11.31578947,21.78947368,0.519,2.144736842,5.723684211,0.375,9.171052632,16.06578947,0.571,0.569,7.907894737,8.802631579,0.898,0.881578947,4.105263158,4.986842105,6.394736842,1.723684211,1.013157895,2.407894737,2.157894737,32.68421053,0,1,61005000
2,Anthony Edwards,23,MIN,SG,79,79,36.34177215,9.126582278,20.40506329,0.447,4.050632911,10.26582278,0.395,5.075949367,10.13924051,0.501,0.547,5.253164557,6.278481013,0.837,0.772151899,4.924050633,5.696202532,4.544303797,1.151898734,0.64556962,3.151898734,1.898734177,27.55696203,0,1,45550512
3,Nikola Joki?,29,DEN,C,70,70,36.72857143,11.22857143,19.48571429,0.576,1.971428571,4.728571429,0.417,9.257142857,14.75714286,0.627,0.627,5.157142857,6.442857143,0.8,2.857142857,9.885714286,12.74285714,10.22857143,1.814285714,0.642857143,3.285714286,2.285714286,29.58571429,34,1,55224526
4,Giannis Antetokounmpo,30,MIL,PF,67,67,34.1641791,11.8358209,19.68656716,0.601,0.208955224,0.940298507,0.222,11.62686567,18.74626866,0.62,0.607,6.507462687,10.55223881,0.617,2.194029851,9.71641791,11.91044776,6.462686567,0.865671642,1.164179104,3.074626866,2.313432836,30.3880597,11,1,54126450
5,Jayson Tatum,26,BOS,PF,72,72,36.44444444,9.194444444,20.34722222,0.452,3.472222222,10.11111111,0.343,5.722222222,10.23611111,0.559,0.537,4.972222222,6.111111111,0.814,0.666666667,7.986111111,8.652777778,5.986111111,1.055555556,0.527777778,2.902777778,2.180555556,26.83333333,2,1,54126450
6,Devin Booker,28,PHO,SG,75,75,37.26666667,8.72,18.93333333,0.461,2.44,7.346666667,0.332,6.28,11.58666667,0.542,0.525,5.76,6.44,0.894,1.013333333,3.053333333,4.066666667,7.053333333,0.893333333,0.213333333,2.933333333,2.64,25.64,0,0,53142264
7,Trae Young,26,ATL,PG,76,76,36.03947368,7.447368421,18.10526316,0.411,2.868421053,8.447368421,0.34,4.578947368,9.657894737,0.474,0.491,6.460526316,7.381578947,0.875,0.473684211,2.631578947,3.105263158,11.57894737,1.197368421,0.157894737,4.671052632,1.907894737,24.22368421,0,1,46394100
8,Tyler Herro,25,MIA,SG,77,77,35.38961039,8.454545455,17.8961039,0.472,3.25974026,8.701298701,0.375,5.194805195,9.194805195,0.565,0.563,3.727272727,4.246753247,0.878,0.454545455,4.727272727,5.181818182,5.506493506,0.896103896,0.220779221,2.571428571,1.103896104,23.8961039,0,1,32500000
9,Cade Cunningham,23,DET,PG,70,70,35.02857143,9.771428571,20.81428571,0.469,2.128571429,5.971428571,0.356,7.642857143,14.84285714,0.515,0.521,4.471428571,5.285714286,0.846,0.8,5.271428571,6.071428571,9.114285714,1.014285714,0.757142857,4.414285714,2.785714286,26.14285714,9,1,46394100
10,James Harden,35,LAC,PG,79,79,35.30379747,6.721518987,16.39240506,0.41,2.974683544,8.455696203,0.352,3.746835443,7.936708861,0.472,0.501,6.392405063,7.316455696,0.874,0.696202532,5.075949367,5.772151899,8.696202532,1.493670886,0.696202532,4.316455696,2.050632911,22.81012658,3,1,39182693
11,Karl-Anthony Towns,29,NYK,C,72,72,34.95833333,8.875,16.875,0.526,1.972222222,4.694444444,0.42,6.902777778,12.18055556,0.567,0.584,4.708333333,5.680555556,0.829,2.944444444,9.833333333,12.77777778,3.083333333,0.986111111,0.694444444,2.666666667,3.458333333,24.43055556,1,1,53142264
12,Zach LaVine,29,2TM,SG,74,74,35.16216216,8.445945946,16.52702703,0.511,3.22972973,7.243243243,0.446,5.216216216,9.283783784,0.562,0.609,3.175675676,3.851351351,0.825,0.297297297,3.959459459,4.256756757,4.189189189,0.783783784,0.162162162,2.810810811,1.635135135,23.2972973,0,0,47499660
13,Jalen Green,22,HOU,SG,82,82,32.8902439,7.414634146,17.52439024,0.423,2.853658537,8.06097561,0.354,4.56097561,9.463414634,0.482,0.505,3.329268293,4.097560976,0.813,0.548780488,4.048780488,4.597560976,3.43902439,0.865853659,0.329268293,2.475609756,1.548780488,21.01219512,0,0,34944001
14,Stephen Curry,36,GSW,PG,70,70,32.17142857,8.057142857,17.97142857,0.448,4.442857143,11.2,0.397,3.614285714,6.771428571,0.534,0.572,3.985714286,4.271428571,0.933,0.571428571,3.857142857,4.428571429,6.014285714,1.142857143,0.428571429,2.857142857,1.357142857,24.54285714,0,1,59606817
15,DeMar DeRozan,35,SAC,SF,77,77,35.94805195,8.103896104,16.98701299,0.477,1.090909091,3.324675325,0.328,7.012987013,13.66233766,0.513,0.509,4.909090909,5.727272727,0.857,0.649350649,3.220779221,3.87012987,4.441558442,0.805194805,0.415584416,1.363636364,1.948051948,22.20779221,0,0,25000000
16,LeBron James,40,LAL,SF,70,70,34.91428571,9.3,18.14285714,0.513,2.128571429,5.657142857,0.376,7.171428571,12.48571429,0.574,0.571,3.7,4.728571429,0.782,1.028571429,6.771428571,7.8,8.214285714,1,0.557142857,3.714285714,1.414285714,24.42857143,10,1,52627153
17,Donovan Mitchell,28,CLE,SG,71,71,31.43661972,8.23943662,18.5915493,0.443,3.281690141,8.915492958,0.368,4.957746479,9.676056338,0.512,0.531,4.197183099,5.098591549,0.823,0.802816901,3.732394366,4.535211268,4.985915493,1.338028169,0.23943662,2.098591549,1.971830986,23.95774648,0,1,46394100
18,Jalen Brunson,28,NYK,PG,65,65,35.4,9,18.46153846,0.488,2.338461538,6.107692308,0.383,6.661538462,12.35384615,0.539,0.551,5.661538462,6.892307692,0.821,0.415384615,2.461538462,2.876923077,7.307692308,0.923076923,0.123076923,2.523076923,2.123076923,26,0,1,35000000
