Player,Age,Team,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Salary,,,,,,,,,,,,,,,Player-additional
Shai Gilgeous-Alexander,26,OKC,PG,76,76,34.2,5,6.4,1.7,1,2.4,2.2,32.7,1,61005000,,,,,,,,,,,,,,,gilgesh01
Giannis Antetokounmpo,30,MIL,PF,67,67,34.2,11.9,6.5,0.9,1.2,3.1,2.3,30.4,1,54126450,,,,,,,,,,,,,,,antetgi01
Nikola Joki?,29,DEN,C,70,70,36.7,12.7,10.2,1.8,0.6,3.3,2.3,29.6,1,55224526,,,,,,,,,,,,,,,jokicni01
Luka Don?i?,25,2TM,PG,50,50,35.4,8.2,7.7,1.8,0.4,3.6,2.5,28.2,0,49800000,,,,,,,,,,,,,,,doncilu01
Anthony Edwards,23,MIN,SG,79,79,36.3,5.7,4.5,1.2,0.6,3.2,1.9,27.6,1,45550512,,,,,,,,,,,,,,,edwaran01
Jayson Tatum,26,BOS,PF,72,72,36.4,8.7,6,1.1,0.5,2.9,2.2,26.8,1,54126450,,,,,,,,,,,,,,,tatumja01
Kevin Durant,36,PHO,PF,62,62,36.5,6,4.2,0.8,1.2,3.1,1.7,26.6,1,54708609,,,,,,,,,,,,,,,duranke01
Tyrese Maxey,24,PHI,PG,52,52,37.7,3.3,6.1,1.8,0.4,2.4,2.2,26.3,0,37958760,,,,,,,,,,,,,,,maxeyty01
Cade Cunningham,23,DET,PG,70,70,35,6.1,9.1,1,0.8,4.4,2.8,26.1,0,46394100,,,,,,,,,,,,,,,cunnica01
Jalen Brunson,28,NYK,PG,65,65,35.4,2.9,7.3,0.9,0.1,2.5,2.1,26,0,34944001,,,,,,,,,,,,,,,brunsja01
