Player,Age,Team,Pos,G,GS,MP,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
Shai Gilgeous-Alexander,26,OKC,PG,23,23,851,37,9.9,21.3,0.462,1.4,4.8,0.283,8.5,16.5,0.514,0.494,8,9.2,0.876,1,4.2,5.2,6.3,1.6,0.8,2.5,2.7,29.1,,
Jalen Williams,23,OKC,SG,23,23,796,34.60869565,8.1,17.9,0.449,1.6,5.2,0.304,6.5,12.7,0.509,0.494,4.6,5.8,0.789,1.1,4.7,5.7,5,1.4,0.4,1.9,2.3,22.3,,
Tyrese Haliburton,24,IND,PG,23,23,772,33.56521739,6.8,14.7,0.463,2.5,7.4,0.34,4.3,7.3,0.59,0.549,2.5,3,0.828,0.3,5.4,5.7,9.2,1.4,0.7,2.5,1.8,18.6,,
Pascal Siakam,30,IND,PF,23,23,771,33.52173913,8.2,15.9,0.513,1.6,3.8,0.427,6.5,12.1,0.541,0.565,4.1,5.7,0.713,1.4,5.4,6.8,3.6,1.3,0.7,1.4,3.1,22,,
Andrew Nembhard,25,IND,SG,23,23,769,33.43478261,4.9,10.4,0.471,1.9,4,0.465,3,6.4,0.474,0.561,1.7,2.2,0.804,0.7,2.8,3.5,5,1.6,0.2,2,2.9,13.4,,
Mikal Bridges,28,NYK,SF,18,18,706,39.22222222,6.1,13.4,0.456,1.4,4.3,0.333,4.7,9.1,0.514,0.51,0.6,0.8,0.75,1,3.1,4.1,2.7,1.5,0.9,1.9,2,14.3,,
OG Anunoby,27,NYK,PF,18,18,705,39.16666667,5.3,12.6,0.417,2.1,6.2,0.339,3.2,6.4,0.492,0.5,2.4,3,0.81,1.2,3,4.2,1.2,1.8,1.1,1.5,2.5,15,,
Chet Holmgren,22,OKC,C,23,23,686,29.82608696,6.5,14,0.462,1.4,4.8,0.297,5,9.2,0.549,0.513,4,5.1,0.784,2.2,8.2,10.4,1.2,0.9,2.3,1.5,2.5,18.3,,
Jalen Brunson,28,NYK,PG,18,18,680,37.77777778,9.6,20.8,0.461,2.5,7.1,0.358,7,13.7,0.514,0.522,6.4,7.5,0.851,0.6,2.6,3.3,6.7,0.4,0.3,2.9,3.1,28.1,,
Myles Turner,28,IND,C,23,23,675,29.34782609,5.7,11.7,0.484,1.7,4.8,0.344,4,6.9,0.581,0.555,3.9,5.1,0.771,1.5,4.4,5.9,1.7,0.6,2.5,2,3.6,16.9,,
Luguentz Dort,25,OKC,SF,23,23,666,28.95652174,3.2,8.9,0.366,2.6,7.6,0.343,0.6,1.3,0.5,0.512,0.8,1.2,0.636,1.7,3.1,4.8,1.1,1.6,0.5,1.1,4.2,9.8,,
Aaron Nesmith,25,IND,SF,23,23,650,28.26086957,5.5,11.7,0.472,3.3,6.8,0.492,2.2,5,0.444,0.613,1.7,2,0.861,1.5,5.7,7.2,1.4,1.1,1,1.3,5.3,16.1,,
Josh Hart,29,NYK,SG,18,14,642,35.66666667,3.8,8.1,0.472,1.1,3,0.37,2.7,5,0.533,0.542,2.9,3.8,0.776,2.5,6.4,8.9,4.5,1.1,0.6,2,3.5,11.7,,
Karl-Anthony Towns,29,NYK,C,18,18,639,35.5,7.8,16.1,0.488,1.5,4.2,0.351,6.4,11.9,0.536,0.533,4.6,5.5,0.845,2.1,9.6,11.8,1.4,0.7,0.7,2.3,4.4,21.7,,
