Player,Age,Team,Pos,G,GS,MP,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Awards
Shai Gilgeous-Alexander,26,OKC,PG,23,23,851,37,25.3,0.574,0.224,0.431,2.9,12.9,7.9,30.6,2.2,2.4,9.1,32.9,2.6,1.4,3.9,0.222,5.7,2.6,8.3,2.2,61005000,0,0,1,0,0,1
Jalen Williams,23,OKC,SG,23,23,796,34.60869565,19.1,0.544,0.29,0.323,3.2,14.2,8.7,22.3,2,1.1,8.3,26.3,1.3,1.2,2.5,0.153,2.5,1.7,4.2,1.2,41500000,0,0,0,0,1,1
Tyrese Haliburton,24,IND,PG,23,23,772,33.56521739,20,0.581,0.505,0.203,1.1,16.5,9.2,39.1,1.9,1.8,13.4,22.7,1.7,0.8,2.5,0.158,3.9,0.8,4.7,1.3,45550512,0,0,1,0,0,0
Pascal Siakam,30,IND,PF,23,23,771,33.52173913,20.3,0.598,0.24,0.358,4.8,16.5,11,16.4,1.8,1.9,7.1,24.4,1.8,0.8,2.6,0.161,3.1,1.1,4.3,1.2,45550512,0,1,0,0,0,1
Andrew Nembhard,25,IND,SG,23,23,769,33.43478261,12.9,0.59,0.386,0.206,2.2,8.5,5.6,19.7,2.2,0.6,14.7,16.4,0.8,0.6,1.5,0.091,-0.3,1.3,1,0.6,18797619,0,0,0,0,1,0
Mikal Bridges,28,NYK,SF,18,18,706,39.22222222,12.3,0.518,0.319,0.061,3.2,10.2,6.6,11.7,2.1,2.4,12.3,19,0,0.7,0.7,0.045,-0.9,1.2,0.3,0.4,33482145,0,0,0,1,0,0
OG Anunoby,27,NYK,PF,18,18,705,39.16666667,13.1,0.539,0.49,0.235,3.9,9.9,6.8,5.1,2.6,3.1,9.9,18.7,0.3,0.8,1.1,0.077,-0.1,1.2,1,0.5,39568966,0,1,0,0,0,0
Chet Holmgren,22,OKC,C,23,23,686,29.82608696,18.1,0.565,0.342,0.365,6.6,25.1,15.8,4.8,1.2,6.3,8.3,20.8,0.9,1.4,2.3,0.161,0.9,1.5,2.4,0.8,41500000,1,0,0,0,0,0
Jalen Brunson,28,NYK,PG,18,18,680,37.77777778,22.2,0.582,0.341,0.359,2,8.7,5.3,34,0.6,0.7,10.8,32.6,2.1,0.3,2.3,0.164,5.7,-0.8,4.9,1.2,35000000,0,0,1,0,0,1
Myles Turner,28,IND,C,23,23,675,29.34782609,14.9,0.607,0.411,0.438,5.1,13.3,9.4,6.9,0.9,6.2,12.7,19.6,0.7,0.7,1.4,0.097,-0.4,1,0.6,0.4,26580000,1,0,0,0,0,0
Luguentz Dort,25,OKC,SF,23,23,666,28.95652174,8.1,0.524,0.854,0.134,5.2,9.4,7.3,4,2.1,1.5,10.3,12.3,0.2,1,1.1,0.081,-2.3,1.4,-0.9,0.2,18975000,0,0,0,1,0,0
Aaron Nesmith,25,IND,SF,23,23,650,28.26086957,14.3,0.639,0.575,0.17,5.1,17.4,11.6,5.8,1.5,2.5,9.2,17.1,1,0.7,1.7,0.125,0.8,1,1.7,0.6,19418000,0,0,0,1,0,0
Josh Hart,29,NYK,SG,18,14,642,35.66666667,15.1,0.599,0.375,0.465,7.8,21,14.2,17.7,1.6,1.6,16.8,14.1,1.1,0.7,1.8,0.138,1.1,2.3,3.4,0.9,21057065,0,0,0,0,1,0
Karl-Anthony Towns,29,NYK,C,18,18,639,35.5,19.1,0.589,0.26,0.34,6.7,31.6,18.9,6.3,1,1.9,10.9,25,1,0.8,1.9,0.142,1.6,-0.2,1.4,0.5,53142264,1,0,0,0,0,1
Anthony Edwards,23,MIN,SG,15,15,585,39,20.2,0.564,0.436,0.299,3.6,19.5,11.7,23.7,1.5,1.9,10.4,27.9,1.1,0.7,1.9,0.154,4.8,1.2,6,1.2,45550512,0,0,0,0,1,1
Jamal Murray,27,DEN,PG,14,14,578,41.28571429,15.1,0.555,0.384,0.224,1.7,11,6.4,21.1,1.5,1.7,13.8,23.8,0.4,0.4,0.8,0.065,1.9,0.2,2.1,0.6,46394100,0,0,1,0,0,0
Alex Caruso,30,OKC,SG,23,0,562,24.43478261,15.1,0.598,0.563,0.244,3.3,8.8,6,12.6,3.9,2.3,9.7,14.8,0.9,1.1,2,0.169,0.4,4.7,5,1,18893980,0,0,0,0,1,0
Christian Braun,23,DEN,SG,14,14,544,38.85714286,11.9,0.548,0.473,0.209,5.1,12.9,9,9.3,1.6,1.7,8,14,0.6,0.4,1,0.086,0.2,0.8,1,0.4,21551726,0,0,0,0,1,0
Julius Randle,30,MIN,PF,15,15,533,35.53333333,18.9,0.622,0.341,0.328,6,13.2,9.6,22.9,1.1,0.4,15.8,25.3,1.2,0.5,1.7,0.152,3.4,0.8,4.2,0.8,32400000,0,1,0,0,0,0
Aaron Gordon,29,DEN,PF,14,14,522,37.28571429,15.8,0.601,0.347,0.299,10.6,11.6,11.1,11.4,0.8,0.9,12.1,17.8,1,0.2,1.3,0.116,3.1,-0.9,2.2,0.5,33658037,0,1,0,0,0,0
Isaiah Hartenstein,26,OKC,C,23,20,516,22.43478261,18.3,0.632,0,0.224,13.2,23.4,18.2,14.3,1.8,2.3,15.5,14.3,1.1,1,2.1,0.199,0.9,2.6,3.5,0.7,30801103,1,0,0,0,0,0
Jaden McDaniels,24,MIN,PF,15,15,497,33.13333333,15.6,0.607,0.325,0.166,6.4,13.2,9.8,7.2,1.9,2.6,9,17.4,0.9,0.6,1.5,0.143,0.6,2,2.6,0.6,25000000,0,1,0,0,0,0
Obi Toppin,26,IND,PF,23,0,440,19.13043478,14.3,0.578,0.456,0.211,3.6,18.7,11.6,10.4,1.7,1.7,11.4,21.2,0.2,0.5,0.7,0.076,0.1,0.3,0.4,0.3,14130434,0,1,0,0,0,0
Michael Porter Jr.,26,DEN,SF,14,14,435,31.07142857,8.2,0.507,0.583,0.117,3.6,15.6,9.7,3,1,1.3,9.3,13.8,0,0.3,0.2,0.025,-1.1,-1.1,-2.2,0,38333050,0,0,0,1,0,0
Derrick White,30,BOS,SG,11,11,415,37.72727273,18.8,0.636,0.707,0.245,3.9,11,7.6,15.8,0.9,2.7,7.4,19.3,1.3,0.5,1.8,0.208,5.1,1.4,6.6,0.9,30666666,0,0,0,0,1,0
