,,Salary,,,,,,,
,Player,2025-26,,,,,,,
,Shai Gilgeous-Alexander,61005000,,,,,,,
,Stephen Curry,59606817,,,,,,,
,Joel Embiid,55224526,,,,,,,
,Nikola Jokic,55224526,,,,,,,
,Kevin Durant,54708609,,,,,,,
,Jayson Tatum,54126450,,,,,,,
,Anthony Davis,54126450,,,,,,,
,Giannis Antetokounmpo,54126450,,,,,,,
,Jimmy Butler,54126450,,,,,,,
,Jaylen Brown,53142264,,,,,,,
,Devin Booker,53142264,,,,,,,
,Karl-Anthony Towns,53142264,,,,,,,
,LeBron James,52627153,,,,,,,
,Paul George,51666090,,,,,,,
,Kawhi Leonard,50000000,,,,,,,
,De'Aaron Fox,49800000,,,,,,,
,Bam Adebayo,49800000,,,,,,,
,Luka Doncic,49800000,,,,,,,
,Jaren Jackson Jr.,49000000,,,,,,,
,Zach LaVine,47499660,,,,,,,
,Cade Cunningham,46394100,,,,,,,
,Evan Mobley,46394100,,,,,,,
,Jamal Murray,46394100,,,,,,,
,Lauri Markkanen,46394100,,,,,,,
,Donovan Mitchell,46394100,,,,,,,
,Trae Young,46394100,,,,,,,
,Anthony Edwards,45550512,,,,,,,
,Tyrese Haliburton,45550512,,,,,,,
,Pascal Siakam,45550512,,,,,,,
,Domantas Sabonis,42336000,,,,,,,
,Chet Holmgren,41500000,,,,,,,
,Jalen Williams,41500000,,,,,,,
,Paolo Banchero,41500000,,,,,,,
,LaMelo Ball,40770520,,,,,,,
,OG Anunoby,39568966,,,,,,,
,Zion Williamson,39446090,,,,,,,
,Ja Morant,39446090,,,,,,,
,Darius Garland,39446090,,,,,,,
,James Harden,39182693,,,,,,,
,Scottie Barnes,38661750,,,,,,,
,Franz Wagner,38661750,,,,,,,
,Michael Porter Jr.,38333050,,,,,,,
,Brandon Ingram,38095238,,,,,,,
,Tyrese Maxey,37958760,,,,,,,
,Desmond Bane,36725670,,,,,,,
,Kyrie Irving,36620603,,,,,,,
,Jalen Suggs,36566002,,,,,,,
,Rudy Gobert,35000000,,,,,,,
,Jalen Brunson,35000000,,,,,,,
